epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.382,1.81119,3.08613,0.02525,0.89873,0.59924,0.61105,0.22419,2.44734,0.88644,0.03453,0.000476108,0.000476108,0.000476108
2,672.81,1.72062,1.42624,0.0227,0.89895,0.58324,0.63339,0.26871,2.01552,0.80015,0.02754,0.000951511,0.000951511,0.000951511
3,931.74,1.66492,1.27534,0.02189,0.9394,0.62581,0.6441,0.30801,1.78322,0.62976,0.0256,0.0014232,0.0014232,0.0014232
4,1189.58,1.60973,1.17901,0.02099,0.60575,0.64259,0.65051,0.34453,1.67572,0.62592,0.02467,0.00141647,0.00141647,0.00141647
5,1447.64,1.57459,1.10455,0.02008,0.95353,0.62349,0.64787,0.35556,1.49952,0.58849,0.02039,0.00140678,0.00140678,0.00140678
6,1705.71,1.53514,1.04807,0.01928,0.94867,0.62537,0.64735,0.36567,1.4967,0.54097,0.0205,0.00139438,0.00139438,0.00139438
7,1963.5,1.50777,0.96322,0.01905,0.95956,0.64468,0.65538,0.34669,1.60365,0.45931,0.02205,0.00137933,0.00137933,0.00137933
8,2221.95,1.44815,0.86863,0.01834,0.96584,0.63767,0.65585,0.36721,1.54879,0.43851,0.02139,0.00136168,0.00136168,0.00136168
9,2480.82,1.43673,0.80393,0.01813,0.95686,0.62566,0.65104,0.39717,1.39224,0.43775,0.02082,0.0013415,0.0013415,0.0013415
10,2739.12,1.39576,0.78789,0.01796,0.96229,0.63842,0.65678,0.38277,1.50601,0.44072,0.01978,0.00131888,0.00131888,0.00131888
11,2997.95,1.35102,0.74865,0.01688,0.98101,0.62108,0.65655,0.35293,1.71286,0.49796,0.02273,0.00129391,0.00129391,0.00129391
12,3257.34,1.35269,0.75217,0.01674,0.97118,0.62948,0.65639,0.36218,1.6266,0.45267,0.02113,0.00126667,0.00126667,0.00126667
13,3526.48,1.33158,0.72886,0.01646,0.97903,0.64245,0.65554,0.34967,1.67472,0.46662,0.0211,0.00123728,0.00123728,0.00123728
14,3799.5,1.28397,0.698,0.0161,0.97339,0.63894,0.65678,0.33321,1.77467,0.46043,0.02343,0.00120586,0.00120586,0.00120586
15,4080.82,1.27178,0.67237,0.01578,0.98492,0.63819,0.65876,0.37563,1.586,0.41385,0.02004,0.00117253,0.00117253,0.00117253
16,4352.77,1.25266,0.67148,0.0156,0.97305,0.64156,0.65849,0.31599,1.87668,0.4879,0.02308,0.00113742,0.00113742,0.00113742
17,4607.82,1.25918,0.66806,0.01566,0.9768,0.64598,0.66119,0.33135,1.75057,0.48853,0.02206,0.00110066,0.00110066,0.00110066
18,4865.65,1.25285,0.65861,0.01564,0.98049,0.6432,0.65704,0.34401,1.77257,0.46799,0.0223,0.00106242,0.00106242,0.00106242
19,5141.43,1.22558,0.64013,0.01504,0.97968,0.64728,0.66044,0.38599,1.50117,0.40316,0.02043,0.00102282,0.00102282,0.00102282
